AISC_Manual_Label,W,A,Ix (in^4),Sx
2L3X2-1/2X3/16X3/4SLBB,6.78,2.00,1.14,0.61
2L3X2X1/2SLBB,15.40,4.52,1.33,0.94
2L3X2X1/2X3/8SLBB,15.40,4.52,1.33,0.94
2L3X2X1/2X3/4SLBB,15.40,4.52,1.33,0.94
2L3X2X3/8SLBB,11.80,3.50,1.08,0.74
2L3X2X3/8X3/8SLBB,11.80,3.50,1.08,0.74
2L3X2X3/8X3/4SLBB,11.80,3.50,1.08,0.74
2L3X2X5/16SLBB,10.00,2.96,0.94,0.63
2L3X2X5/16X3/8SLBB,10.00,2.96,0.94,0.63
2L3X2X5/16X3/4SLBB,10.00,2.96,0.94,0.63
2L3X2X1/4SLBB,8.20,2.40,0.78,0.52
2L3X2X1/4X3/8SLBB,8.20,2.40,0.78,0.52
2L3X2X1/4X3/4SLBB,8.20,2.40,0.78,0.52
2L3X2X3/16SLBB,6.14,1.83,0.61,0.40
2L3X2X3/16X3/8SLBB,6.14,1.83,0.61,0.40
2L3X2X3/16X3/4SLBB,6.14,1.83,0.61,0.40
2L2-1/2X2X3/8SLBB,10.60,3.10,1.03,0.72
2L2-1/2X2X3/8X3/8SLBB,10.60,3.10,1.03,0.72
2L2-1/2X2X3/8X3/4SLBB,10.60,3.10,1.03,0.72
2L2-1/2X2X5/16SLBB,9.00,2.64,0.89,0.62
2L2-1/2X2X5/16X3/8SLBB,9.00,2.64,0.89,0.62
2L2-1/2X2X5/16X3/4SLBB,9.00,2.64,0.89,0.62
2L2-1/2X2X1/4SLBB,7.24,2.14,0.74,0.51
2L2-1/2X2X1/4X3/8SLBB,7.24,2.14,0.74,0.51
2L2-1/2X2X1/4X3/4SLBB,7.24,2.14,0.74,0.51
2L2-1/2X2X3/16SLBB,5.50,1.64,0.58,0.39
2L2-1/2X2X3/16X3/8SLBB,5.50,1.64,0.58,0.39
2L2-1/2X2X3/16X3/4SLBB,5.50,1.64,0.58,0.39
2L2-1/2X1-1/2X1/4SLBB,6.38,1.89,0.32,0.28
2L2-1/2X1-1/2X1/4X3/8SLBB,6.38,1.89,0.32,0.28
2L2-1/2X1-1/2X1/4X3/4SLBB,6.38,1.89,0.32,0.28
2L2-1/2X1-1/2X3/16SLBB,4.88,1.45,0.25,0.22
2L2-1/2X1-1/2X3/16X3/8SLBB,4.88,1.45,0.25,0.22
2L2-1/2X1-1/2X3/16X3/4SLBB,4.88,1.45,0.25,0.22
HSS20X12X5/8,127.37,35.00,1880.00,188.00
HSS20X12X1/2,103.30,28.30,1550.00,155.00
HSS20X12X3/8,78.52,21.50,1200.00,120.00
HSS20X12X5/16,65.87,18.10,1010.00,101.00
HSS20X8X5/8,110.36,30.30,1440.00,144.00
HSS20X8X1/2,89.68,24.60,1190.00,119.00
HSS20X8X3/8,68.31,18.70,926.00,92.60
HSS20X8X5/16,57.36,15.70,786.00,78.60
HSS20X4X1/2,76.07,20.90,838.00,83.80
HSS20X4X3/8,58.10,16.00,657.00,65.70
HSS20X4X5/16,48.86,13.40,560.00,56.00
HSS20X4X1/4,39.43,10.80,458.00,45.80
HSS18X6X5/8,93.34,25.70,923.00,103.00
HSS18X6X1/2,76.07,20.90,770.00,85.60
HSS18X6X3/8,58.10,16.00,602.00,66.90
HSS18X6X5/16,48.86,13.40,513.00,57.00
HSS18X6X1/4,39.43,10.80,419.00,46.50
HSS16X16X5/8,127.37,35.00,1370.00,171.00
HSS16X16X1/2,103.30,28.30,1130.00,141.00
HSS16X16X3/8,78.52,21.50,873.00,109.00
HSS16X16X5/16,65.87,18.10,739.00,92.30
HSS16X12X5/8,110.36,30.30,1090.00,136.00
HSS16X12X1/2,89.68,24.60,904.00,113.00
HSS16X12X3/8,68.31,18.70,702.00,87.70
HSS16X12X5/16,57.36,15.70,595.00,74.40
HSS16X8X5/8,93.34,25.70,815.00,102.00
HSS16X8X1/2,76.07,20.90,679.00,84.90
HSS16X8X3/8,58.10,16.00,531.00,66.30
HSS16X8X5/16,48.86,13.40,451.00,56.40
HSS16X8X1/4,39.43,10.80,368.00,46.10
HSS16X4X5/8,76.33,21.00,539.00,67.30
HSS16X4X1/2,62.46,17.20,455.00,56.90
HSS16X4X3/8,47.90,13.20,360.00,45.00
HSS16X4X5/16,40.35,11.10,308.00,38.50
HSS16X4X1/4,32.63,8.96,253.00,31.60
HSS16X4X3/16,24.73,6.76,193.00,24.20
HSS14X14X5/8,110.36,30.30,897.00,128.00
HSS14X14X1/2,89.68,24.60,743.00,106.00
HSS14X14X3/8,68.31,18.70,577.00,82.50
HSS14X14X5/16,57.36,15.70,490.00,69.90
HSS14X10X5/8,93.34,25.70,687.00,98.20
HSS14X10X1/2,76.07,20.90,573.00,81.80
HSS14X10X3/8,58.10,16.00,447.00,63.90
HSS14X10X5/16,48.86,13.40,380.00,54.30
HSS14X10X1/4,39.43,10.80,310.00,44.30
HSS14X6X5/8,76.33,21.00,478.00,68.30
HSS14X6X1/2,62.46,17.20,402.00,57.40
HSS14X6X3/8,47.90,13.20,317.00,45.30
HSS14X6X5/16,40.35,11.10,271.00,38.70
HSS14X6X1/4,32.63,8.96,222.00,31.70
HSS14X6X3/16,24.73,6.76,170.00,24.30
HSS14X4X5/8,67.82,18.70,373.00,53.30
HSS14X4X1/2,55.66,15.30,317.00,45.30
HSS14X4X3/8,42.79,11.80,252.00,36.00
HSS14X4X5/16,36.10,9.92,216.00,30.90
HSS14X4X1/4,29.23,8.03,178.00,25.40
HSS14X4X3/16,22.18,6.06,137.00,19.50
HSS12X12X5/8,93.34,25.70,548.00,91.40
HSS12X12X1/2,76.07,20.90,457.00,76.20
HSS12X12X3/8,58.10,16.00,357.00,59.50
HSS12X12X5/16,48.86,13.40,304.00,50.70
HSS12X12X1/4,39.43,10.80,248.00,41.40
HSS12X12X3/16,29.84,8.15,189.00,31.50
HSS12X10X1/2,69.27,19.00,395.00,65.90
HSS12X10X3/8,53.00,14.60,310.00,51.60
HSS12X10X5/16,44.60,12.20,264.00,44.00
HSS12X10X1/4,36.03,9.90,216.00,36.00
HSS12X8X5/8,76.33,21.00,397.00,66.10
HSS12X8X1/2,62.46,17.20,333.00,55.60
HSS12X8X3/8,47.90,13.20,262.00,43.70
HSS12X8X5/16,40.35,11.10,224.00,37.40
HSS12X8X1/4,32.63,8.96,184.00,30.60
HSS12X8X3/16,24.73,6.76,140.00,23.40
HSS12X6X5/8,67.82,18.70,321.00,53.40
HSS12X6X1/2,55.66,15.30,271.00,45.20
HSS12X6X3/8,42.79,11.80,215.00,35.90
HSS12X6X5/16,36.10,9.92,184.00,30.70
HSS12X6X1/4,29.23,8.03,151.00,25.20
HSS12X6X3/16,22.18,6.06,116.00,19.40
HSS12X4X5/8,59.32,16.40,245.00,40.80
HSS12X4X1/2,48.85,13.50,210.00,34.90
HSS12X4X3/8,37.69,10.40,168.00,28.00
HSS12X4X5/16,31.84,8.76,144.00,24.10
HSS12X4X1/4,25.82,7.10,119.00,19.90
HSS12X4X3/16,19.63,5.37,91.80,15.30
HSS12X3-1/2X3/8,36.41,10.00,156.00,26.00
HSS12X3-1/2X5/16,30.78,8.46,134.00,22.40
HSS12X3X5/16,29.72,8.17,124.00,20.70
HSS12X3X1/4,24.12,6.63,103.00,17.20
HSS12X3X3/16,18.35,5.02,79.60,13.30
HSS12X2X5/16,27.59,7.59,104.00,17.40
HSS12X2X1/4,22.42,6.17,86.90,14.50
HSS12X2X3/16,17.08,4.67,67.40,11.20
HSS10X10X5/8,76.33,21.00,304.00,60.80
HSS10X10X1/2,62.46,17.20,256.00,51.20
HSS10X10X3/8,47.90,13.20,202.00,40.40
HSS10X10X5/16,40.35,11.10,172.00,34.50
HSS10X10X1/4,32.63,8.96,141.00,28.30
HSS10X10X3/16,24.73,6.76,108.00,21.60
HSS10X8X5/8,67.82,18.70,253.00,50.50
HSS10X8X1/2,55.66,15.30,214.00,42.70
HSS10X8X3/8,42.79,11.80,169.00,33.90
HSS10X8X5/16,36.10,9.92,145.00,29.00
HSS10X8X1/4,29.23,8.03,119.00,23.80
HSS10X8X3/16,22.18,6.06,91.40,18.30
HSS10X6X5/8,59.32,16.40,201.00,40.20
HSS10X6X1/2,48.85,13.50,171.00,34.30
HSS10X6X3/8,37.69,10.40,137.00,27.40
HSS10X6X5/16,31.84,8.76,118.00,23.50
HSS10X6X1/4,25.82,7.10,96.90,19.40
HSS10X6X3/16,19.63,5.37,74.60,14.90
HSS10X5X3/8,35.13,9.67,120.00,24.10
HSS10X5X5/16,29.72,8.17,104.00,20.80
HSS10X5X1/4,24.12,6.63,85.80,17.20
HSS10X5X3/16,18.35,5.02,66.20,13.20
HSS10X4X5/8,50.81,14.00,149.00,29.90
HSS10X4X1/2,42.05,11.60,129.00,25.80
HSS10X4X3/8,32.58,8.97,104.00,20.80
HSS10X4X5/16,27.59,7.59,90.10,18.00
HSS10X4X1/4,22.42,6.17,74.70,14.90
HSS10X4X3/16,17.08,4.67,57.80,11.60
HSS10X4X1/8,11.56,3.16,39.80,7.97
HSS10X3-1/2X1/2,40.34,11.10,118.00,23.70
HSS10X3-1/2X3/8,31.31,8.62,96.10,19.20
HSS10X3-1/2X5/16,26.53,7.30,83.20,16.60
HSS10X3-1/2X1/4,21.57,5.93,69.10,13.80
HSS10X3-1/2X3/16,16.44,4.50,53.60,10.70
HSS10X3-1/2X1/8,11.13,3.04,37.00,7.40
HSS10X3X3/8,30.03,8.27,88.00,17.60
HSS10X3X5/16,25.46,7.01,76.30,15.30
HSS10X3X1/4,20.72,5.70,63.60,12.70
HSS10X3X3/16,15.80,4.32,49.40,9.87
HSS10X3X1/8,10.71,2.93,34.20,6.83
HSS10X2X3/8,27.48,7.58,71.70,14.30
HSS10X2X5/16,23.34,6.43,62.60,12.50
HSS10X2X1/4,19.02,5.24,52.50,10.50
HSS10X2X3/16,14.53,3.98,41.00,8.19
HSS10X2X1/8,9.86,2.70,28.50,5.70
HSS9X9X5/8,67.82,18.70,216.00,47.90
HSS9X9X1/2,55.66,15.30,183.00,40.60
HSS9X9X3/8,42.79,11.80,145.00,32.20
HSS9X9X5/16,36.10,9.92,124.00,27.60
HSS9X9X1/4,29.23,8.03,102.00,22.70
HSS9X9X3/16,22.18,6.06,78.20,17.40
HSS9X9X1/8,14.96,4.09,53.50,11.90
HSS9X7X5/8,59.32,16.40,174.00,38.70
HSS9X7X1/2,48.85,13.50,149.00,33.00
HSS9X7X3/8,37.69,10.40,119.00,26.40
HSS9X7X5/16,31.84,8.76,102.00,22.60
HSS9X7X1/4,25.82,7.10,84.10,18.70
HSS9X7X3/16,19.63,5.37,64.70,14.40
HSS9X5X5/8,50.81,14.00,133.00,29.60
HSS9X5X1/2,42.05,11.60,115.00,25.50
HSS9X5X3/8,32.58,8.97,92.50,20.50
HSS9X5X5/16,27.59,7.59,79.80,17.70
HSS9X5X1/4,22.42,6.17,66.10,14.70
HSS9X5X3/16,17.08,4.67,51.10,11.40
HSS9X3X1/2,35.24,9.74,80.80,18.00
HSS9X3X3/8,27.48,7.58,66.30,14.70
HSS9X3X5/16,23.34,6.43,57.70,12.80
HSS9X3X1/4,19.02,5.24,48.20,10.70
HSS9X3X3/16,14.53,3.98,37.60,8.35
HSS8X8X5/8,59.32,16.40,146.00,36.50
HSS8X8X1/2,48.85,13.50,125.00,31.20
HSS8X8X3/8,37.69,10.40,100.00,24.90
HSS8X8X5/16,31.84,8.76,85.60,21.40
HSS8X8X1/4,25.82,7.10,70.70,17.70
HSS8X8X3/16,19.63,5.37,54.40,13.60
HSS8X8X1/8,13.26,3.62,37.40,9.34
HSS8X6X5/8,50.81,14.00,114.00,28.50
HSS8X6X1/2,42.05,11.60,98.20,24.60
HSS8X6X3/8,32.58,8.97,79.10,19.80
HSS8X6X5/16,27.59,7.59,68.30,17.10
HSS8X6X1/4,22.42,6.17,56.60,14.20
HSS8X6X3/16,17.08,4.67,43.70,10.90
HSS8X4X5/8,42.30,11.70,82.00,20.50
HSS8X4X1/2,35.24,9.74,71.80,17.90
HSS8X4X3/8,27.48,7.58,58.70,14.70
HSS8X4X5/16,23.34,6.43,51.00,12.80
HSS8X4X1/4,19.02,5.24,42.50,10.60
HSS8X4X3/16,14.53,3.98,33.10,8.27
HSS8X4X1/8,9.86,2.70,22.90,5.73
HSS8X3X1/2,31.84,8.81,58.60,14.60
HSS8X3X3/8,24.93,6.88,48.50,12.10
HSS8X3X5/16,21.21,5.85,42.40,10.60
HSS8X3X1/4,17.32,4.77,35.50,8.88
HSS8X3X3/16,13.25,3.63,27.80,6.94
HSS8X3X1/8,9.01,2.46,19.30,4.83
HSS8X2X3/8,22.37,6.18,38.20,9.56
HSS8X2X5/16,19.08,5.26,33.70,8.43
HSS8X2X1/4,15.62,4.30,28.50,7.12
HSS8X2X3/16,11.97,3.28,22.40,5.61
HSS8X2X1/8,8.16,2.23,15.70,3.93
HSS7X7X5/8,50.81,14.00,93.40,26.70
HSS7X7X1/2,42.05,11.60,80.50,23.00
HSS7X7X3/8,32.58,8.97,65.00,18.60
HSS7X7X5/16,27.59,7.59,56.10,16.00
HSS7X7X1/4,22.42,6.17,46.50,13.30
HSS7X7X3/16,17.08,4.67,36.00,10.30
HSS7X7X1/8,11.56,3.16,24.80,7.09
HSS7X5X1/2,35.24,9.74,60.60,17.30
HSS7X5X3/8,27.48,7.58,49.50,14.10
HSS7X5X5/16,23.34,6.43,43.00,12.30
HSS7X5X1/4,19.02,5.24,35.90,10.20
HSS7X5X3/16,14.53,3.98,27.90,7.96
HSS7X5X1/8,9.86,2.70,19.30,5.52
HSS7X4X1/2,31.84,8.81,50.70,14.50
HSS7X4X3/8,24.93,6.88,41.80,11.90
HSS7X4X5/16,21.21,5.85,36.50,10.40
HSS7X4X1/4,17.32,4.77,30.50,8.72
HSS7X4X3/16,13.25,3.63,23.80,6.81
HSS7X4X1/8,9.01,2.46,16.60,4.73
HSS7X3X1/2,28.43,7.88,40.70,11.60
HSS7X3X3/8,22.37,6.18,34.10,9.73
HSS7X3X5/16,19.08,5.26,29.90,8.54
HSS7X3X1/4,15.62,4.30,25.20,7.19
HSS7X3X3/16,11.97,3.28,19.80,5.65
HSS7X3X1/8,8.16,2.23,13.80,3.95
HSS7X2X1/4,13.91,3.84,19.80,5.67
HSS7X2X3/16,10.70,2.93,15.70,4.49
HSS7X2X1/8,7.31,2.00,11.10,3.16
HSS6X6X5/8,42.30,11.70,55.20,18.40
HSS6X6X1/2,35.24,9.74,48.30,16.10
HSS6X6X3/8,27.48,7.58,39.50,13.20
HSS6X6X5/16,23.34,6.43,34.30,11.40
HSS6X6X1/4,19.02,5.24,28.60,9.54
HSS6X6X3/16,14.53,3.98,22.30,7.42
HSS6X6X1/8,9.86,2.70,15.50,5.15
HSS6X5X1/2,31.84,8.81,41.10,13.70
HSS6X5X3/8,24.93,6.88,33.90,11.30
HSS6X5X5/16,21.21,5.85,29.60,9.85
HSS6X5X1/4,17.32,4.77,24.70,8.25
HSS6X5X3/16,13.25,3.63,19.30,6.44
HSS6X5X1/8,9.01,2.46,13.40,4.48
HSS6X4X1/2,28.43,7.88,34.00,11.30
HSS6X4X3/8,22.37,6.18,28.30,9.43
HSS6X4X5/16,19.08,5.26,24.80,8.27
HSS6X4X1/4,15.62,4.30,20.90,6.96
HSS6X4X3/16,11.97,3.28,16.40,5.46
HSS6X4X1/8,8.16,2.23,11.40,3.81
HSS6X3X1/2,25.03,6.95,26.80,8.95
HSS6X3X3/8,19.82,5.48,22.70,7.57
HSS6X3X5/16,16.96,4.68,20.10,6.69
HSS6X3X1/4,13.91,3.84,17.00,5.66
HSS6X3X3/16,10.70,2.93,13.40,4.47
HSS6X3X1/8,7.31,2.00,9.43,3.14
HSS6X2X3/8,17.27,4.78,17.10,5.71
HSS6X2X5/16,14.83,4.10,15.30,5.11
HSS6X2X1/4,12.21,3.37,13.10,4.37
HSS6X2X3/16,9.42,2.58,10.50,3.49
HSS6X2X1/8,6.46,1.77,7.42,2.47
HSS5-1/2X5-1/2X3/8,24.93,6.88,29.70,10.80
HSS5-1/2X5-1/2X5/16,21.21,5.85,25.90,9.43
HSS5-1/2X5-1/2X1/4,17.32,4.77,21.70,7.90
HSS5-1/2X5-1/2X3/16,13.25,3.63,17.00,6.17
HSS5-1/2X5-1/2X1/8,9.01,2.46,11.80,4.30
HSS5X5X1/2,28.43,7.88,26.00,10.40
HSS5X5X3/8,22.37,6.18,21.70,8.68
HSS5X5X5/16,19.08,5.26,19.00,7.62
HSS5X5X1/4,15.62,4.30,16.00,6.41
HSS5X5X3/16,11.97,3.28,12.60,5.03
HSS5X5X1/8,8.16,2.23,8.80,3.52
HSS5X4X1/2,25.03,6.95,21.20,8.49
HSS5X4X3/8,19.82,5.48,17.90,7.17
HSS5X4X5/16,16.96,4.68,15.80,6.32
HSS5X4X1/4,13.91,3.84,13.40,5.35
HSS5X4X3/16,10.70,2.93,10.60,4.22
HSS5X4X1/8,7.31,2.00,7.42,2.97
HSS5X3X1/2,21.63,6.02,16.40,6.57
HSS5X3X3/8,17.27,4.78,14.10,5.65
HSS5X3X5/16,14.83,4.10,12.60,5.03
HSS5X3X1/4,12.21,3.37,10.70,4.29
HSS5X3X3/16,9.42,2.58,8.53,3.41
HSS5X3X1/8,6.46,1.77,6.03,2.41
HSS5X2-1/2X1/4,11.36,3.14,9.40,3.76
HSS5X2-1/2X3/16,8.78,2.41,7.51,3.01
HSS5X2-1/2X1/8,6.03,1.65,5.34,2.14
HSS5X2X3/8,14.72,4.09,10.40,4.14
HSS5X2X5/16,12.70,3.52,9.35,3.74
HSS5X2X1/4,10.51,2.91,8.08,3.23
HSS5X2X3/16,8.15,2.24,6.50,2.60
HSS5X2X1/8,5.61,1.54,4.65,1.86
HSS4-1/2X4-1/2X1/2,25.03,6.95,18.10,8.03
HSS4-1/2X4-1/2X3/8,19.82,5.48,15.30,6.79
HSS4-1/2X4-1/2X5/16,16.96,4.68,13.50,6.00
HSS4-1/2X4-1/2X1/4,13.91,3.84,11.40,5.08
HSS4-1/2X4-1/2X3/16,10.70,2.93,9.02,4.01
HSS4-1/2X4-1/2X1/8,7.31,2.00,6.35,2.82
HSS4X4X1/2,21.63,6.02,11.90,5.97
HSS4X4X3/8,17.27,4.78,10.30,5.13
HSS4X4X5/16,14.83,4.10,9.14,4.57
HSS4X4X1/4,12.21,3.37,7.80,3.90
HSS4X4X3/16,9.42,2.58,6.21,3.10
HSS4X4X1/8,6.46,1.77,4.40,2.20
HSS4X3X3/8,14.72,4.09,7.93,3.97
HSS4X3X5/16,12.70,3.52,7.14,3.57
HSS4X3X1/4,10.51,2.91,6.15,3.07
HSS4X3X3/16,8.15,2.24,4.93,2.47
HSS4X3X1/8,5.61,1.54,3.52,1.76
HSS4X2-1/2X3/8,13.44,3.74,6.77,3.38
HSS4X2-1/2X5/16,11.64,3.23,6.13,3.07
HSS4X2-1/2X1/4,9.66,2.67,5.32,2.66
HSS4X2-1/2X3/16,7.51,2.06,4.30,2.15
HSS4X2-1/2X1/8,5.18,1.42,3.09,1.54
HSS4X2X3/8,12.17,3.39,5.60,2.80
HSS4X2X5/16,10.58,2.94,5.13,2.56
HSS4X2X1/4,8.81,2.44,4.49,2.25
HSS4X2X3/16,6.87,1.89,3.66,1.83
HSS4X2X1/8,4.75,1.30,2.65,1.32
HSS3-1/2X3-1/2X3/8,14.72,4.09,6.49,3.71
HSS3-1/2X3-1/2X5/16,12.70,3.52,5.84,3.34
HSS3-1/2X3-1/2X1/4,10.51,2.91,5.04,2.88
HSS3-1/2X3-1/2X3/16,8.15,2.24,4.05,2.31
HSS3-1/2X3-1/2X1/8,5.61,1.54,2.90,1.66
HSS3-1/2X2-1/2X3/8,12.17,3.39,4.75,2.72
HSS3-1/2X2-1/2X5/16,10.58,2.94,4.34,2.48
HSS3-1/2X2-1/2X1/4,8.81,2.44,3.79,2.17
HSS3-1/2X2-1/2X3/16,6.87,1.89,3.09,1.76
HSS3-1/2X2-1/2X1/8,4.75,1.30,2.23,1.28
HSS3-1/2X2X1/4,7.96,2.21,3.17,1.81
HSS3-1/2X2X3/16,6.23,1.71,2.61,1.49
HSS3-1/2X2X1/8,4.33,1.19,1.90,1.09
HSS3-1/2X1-1/2X1/4,7.11,1.97,2.55,1.46
HSS3-1/2X1-1/2X3/16,5.59,1.54,2.12,1.21
HSS3-1/2X1-1/2X1/8,3.90,1.07,1.57,0.90
HSS3X3X3/8,12.17,3.39,3.78,2.52
HSS3X3X5/16,10.58,2.94,3.45,2.30
HSS3X3X1/4,8.81,2.44,3.02,2.01
HSS3X3X3/16,6.87,1.89,2.46,1.64
HSS3X3X1/8,4.75,1.30,1.78,1.19
HSS3X2-1/2X5/16,9.51,2.64,2.92,1.94
HSS3X2-1/2X1/4,7.96,2.21,2.57,1.72
HSS3X2-1/2X3/16,6.23,1.71,2.11,1.41
HSS3X2-1/2X1/8,4.33,1.19,1.54,1.03
HSS3X2X5/16,8.45,2.35,2.38,1.59
HSS3X2X1/4,7.11,1.97,2.13,1.42
HSS3X2X3/16,5.59,1.54,1.77,1.18
HSS3X2X1/8,3.90,1.07,1.30,0.87
HSS3X1-1/2X1/4,6.26,1.74,1.68,1.12
HSS3X1-1/2X3/16,4.96,1.37,1.42,0.95
HSS3X1-1/2X1/8,3.48,0.96,1.06,0.71
HSS3X1X3/16,4.32,1.19,1.07,0.71
HSS3X1X1/8,3.05,0.84,0.82,0.55
HSS2-1/2X2-1/2X5/16,8.45,2.35,1.82,1.46
HSS2-1/2X2-1/2X1/4,7.11,1.97,1.63,1.30
HSS2-1/2X2-1/2X3/16,5.59,1.54,1.35,1.08
HSS2-1/2X2-1/2X1/8,3.90,1.07,1.00,0.80
HSS2-1/2X2X1/4,6.26,1.74,1.33,1.06
HSS2-1/2X2X3/16,4.96,1.37,1.12,0.89
HSS2-1/2X2X1/8,3.48,0.96,0.83,0.67
HSS2-1/2X1-1/2X1/4,5.41,1.51,1.03,0.82
HSS2-1/2X1-1/2X3/16,4.32,1.19,0.88,0.71
HSS2-1/2X1-1/2X1/8,3.05,0.84,0.67,0.54
HSS2-1/2X1X3/16,3.68,1.02,0.65,0.52
HSS2-1/2X1X1/8,2.63,0.72,0.50,0.40
HSS2-1/4X2-1/4X1/4,6.26,1.74,1.13,1.01
HSS2-1/4X2-1/4X3/16,4.96,1.37,0.95,0.85
HSS2-1/4X2-1/4X1/8,3.48,0.96,0.71,0.63
HSS2-1/4X2X3/16,4.64,1.28,0.86,0.76
HSS2-1/4X2X1/8,3.27,0.90,0.65,0.57
HSS2X2X1/4,5.41,1.51,0.75,0.75
HSS2X2X3/16,4.32,1.19,0.64,0.64
HSS2X2X1/8,3.05,0.84,0.49,0.49
HSS2X1-1/2X3/16,3.68,1.02,0.50,0.50
HSS2X1-1/2X1/8,2.63,0.72,0.38,0.38
HSS2X1X3/16,3.04,0.85,0.35,0.35
HSS2X1X1/8,2.20,0.61,0.28,0.28
HSS20X0.500,104.00,28.50,1360.00,136.00
HSS20X0.375,78.67,21.50,1040.00,104.00
HSS18X0.500,93.54,25.60,985.00,109.00
HSS18X0.375,70.66,19.40,754.00,83.80
HSS16X0.625,103.00,28.10,838.00,105.00
HSS16X0.500,82.85,22.70,685.00,85.70
HSS16X0.438,72.87,19.90,606.00,75.80
HSS16X0.375,62.64,17.20,526.00,65.70
HSS16X0.312,52.32,14.40,443.00,55.40
HSS16X0.250,42.09,11.50,359.00,44.80
HSS14X0.625,89.36,24.50,552.00,78.90
HSS14X0.500,72.16,19.80,453.00,64.80
HSS14X0.375,54.62,15.00,349.00,49.80
HSS14X0.312,45.65,12.50,295.00,42.10
HSS14X0.250,36.75,10.10,239.00,34.10
HSS12.750X0.500,65.48,17.90,339.00,53.20
HSS12.750X0.375,49.61,13.60,262.00,41.00
HSS12.750X0.250,33.41,9.16,180.00,28.20
HSS10.750X0.500,54.79,15.00,199.00,37.00
HSS10.750X0.375,41.59,11.40,154.00,28.70
HSS10.750X0.250,28.06,7.70,106.00,19.80
HSS10X0.625,62.64,17.20,191.00,38.30
HSS10X0.500,50.78,13.90,159.00,31.70
HSS10X0.375,38.58,10.60,123.00,24.70
HSS10X0.312,32.31,8.88,105.00,20.90
HSS10X0.250,26.06,7.15,85.30,17.10
HSS10X0.188,19.72,5.37,64.80,13.00
HSS9.625X0.500,48.77,13.40,141.00,29.20
HSS9.625X0.375,37.08,10.20,110.00,22.80
HSS9.625X0.312,31.06,8.53,93.00,19.30
HSS9.625X0.250,25.06,6.87,75.90,15.80
HSS9.625X0.188,18.97,5.17,57.70,12.00
HSS8.625X0.625,53.45,14.70,119.00,27.70
HSS8.625X0.500,43.43,11.90,100.00,23.10
HSS8.625X0.375,33.07,9.07,77.80,18.00
HSS8.625X0.322,28.58,7.85,68.10,15.80
HSS8.625X0.250,22.38,6.14,54.10,12.50
HSS8.625X0.188,16.96,4.62,41.30,9.57
HSS7.625X0.375,29.06,7.98,52.90,13.90
HSS7.625X0.328,25.59,7.01,47.10,12.30
HSS7.500X0.500,37.42,10.30,63.90,17.00
HSS7.500X0.375,28.56,7.84,50.20,13.40
HSS7.500X0.312,23.97,6.59,42.90,11.40
HSS7.500X0.250,19.38,5.32,35.20,9.37
HSS7.500X0.188,14.70,4.00,26.90,7.17
HSS7X0.500,34.74,9.55,51.20,14.60
HSS7X0.375,26.56,7.29,40.40,11.60
HSS7X0.312,22.31,6.13,34.60,9.88
HSS7X0.250,18.04,4.95,28.40,8.11
HSS7X0.188,13.69,3.73,21.70,6.21
HSS7X0.125,9.19,2.51,14.90,4.25
HSS6.875X0.500,34.07,9.36,48.30,14.10
HSS6.875X0.375,26.06,7.16,38.20,11.10
HSS6.875X0.312,21.89,6.02,32.70,9.51
HSS6.875X0.250,17.71,4.86,26.80,7.81
HSS6.875X0.188,13.44,3.66,20.60,5.99
HSS6.625X0.500,32.74,9.00,42.90,13.00
HSS6.625X0.432,28.60,7.86,38.20,11.50
HSS6.625X0.375,25.06,6.88,34.00,10.30
HSS6.625X0.312,21.06,5.79,29.10,8.79
HSS6.625X0.280,18.99,5.20,26.40,7.96
HSS6.625X0.250,17.04,4.68,23.90,7.22
HSS6.625X0.188,12.94,3.53,18.40,5.54
HSS6.625X0.125,8.69,2.37,12.60,3.79
HSS6X0.500,29.40,8.09,31.20,10.40
HSS6X0.375,22.55,6.20,24.80,8.28
HSS6X0.312,18.97,5.22,21.30,7.11
HSS6X0.280,17.12,4.69,19.30,6.45
HSS6X0.250,15.37,4.22,17.60,5.86
HSS6X0.188,11.68,3.18,13.50,4.51
HSS6X0.125,7.85,2.14,9.28,3.09
HSS5.563X0.500,27.06,7.45,24.40,8.77
HSS5.563X0.375,20.80,5.72,19.50,7.02
HSS5.563X0.258,14.63,4.01,14.20,5.12
HSS5.563X0.188,10.80,2.95,10.70,3.85
HSS5.563X0.134,7.78,2.12,7.84,2.82
HSS5.500X0.500,26.73,7.36,23.50,8.55
HSS5.500X0.375,20.55,5.65,18.80,6.84
HSS5.500X0.258,14.46,3.97,13.70,5.00
HSS5X0.500,24.05,6.62,17.20,6.88
HSS5X0.375,18.54,5.10,13.90,5.55
HSS5X0.312,15.64,4.30,12.00,4.79
HSS5X0.258,13.08,3.59,10.20,4.08
HSS5X0.250,12.69,3.49,9.94,3.97
HSS5X0.188,9.67,2.64,7.69,3.08
HSS5X0.125,6.51,1.78,5.31,2.12
HSS4.500X0.375,16.54,4.55,9.87,4.39
HSS4.500X0.337,15.00,4.12,9.07,4.03
HSS4.500X0.237,10.80,2.96,6.79,3.02
HSS4.500X0.188,8.67,2.36,5.54,2.46
HSS4.500X0.125,5.85,1.60,3.84,1.71
HSS4X0.313,12.34,3.39,5.87,2.93
HSS4X0.250,10.00,2.76,4.91,2.45
