AISC_Manual_Label,W,A,Ix (in^4),Sx
W18X65,65.00,19.10,1070.00,117.00
W18X60,60.00,17.60,984.00,108.00
W18X55,55.00,16.20,890.00,98.30
W18X50,50.00,14.70,800.00,88.90
W18X46,46.00,13.50,712.00,78.80
W18X40,40.00,11.80,612.00,68.40
W18X35,35.00,10.30,510.00,57.60
W16X100,100.00,29.40,1490.00,175.00
W16X89,89.00,26.20,1300.00,155.00
W16X77,77.00,22.60,1110.00,134.00
W16X67,67.00,19.60,954.00,117.00
W16X57,57.00,16.80,758.00,92.20
W16X50,50.00,14.70,659.00,81.00
W16X45,45.00,13.30,586.00,72.70
W16X40,40.00,11.80,518.00,64.70
W16X36,36.00,10.60,448.00,56.50
W16X31,31.00,9.13,375.00,47.20
W16X26,26.00,7.68,301.00,38.40
W14X730,730.00,215.00,14300.00,1280.00
W14X665,665.00,196.00,12400.00,1150.00
W14X605,605.00,178.00,10800.00,1040.00
W14X550,550.00,162.00,9430.00,931.00
W14X500,500.00,147.00,8210.00,838.00
W14X455,455.00,134.00,7190.00,756.00
W14X426,426.00,125.00,6600.00,706.00
W14X398,398.00,117.00,6000.00,656.00
W14X370,370.00,109.00,5440.00,607.00
W14X342,342.00,101.00,4900.00,558.00
W14X311,311.00,91.40,4330.00,506.00
W14X283,283.00,83.30,3840.00,459.00
W14X257,257.00,75.60,3400.00,415.00
W14X233,233.00,68.50,3010.00,375.00
W14X211,211.00,62.00,2660.00,338.00
W14X193,193.00,56.80,2400.00,310.00
W14X176,176.00,51.80,2140.00,281.00
W14X159,159.00,46.70,1900.00,254.00
W14X145,145.00,42.70,1710.00,232.00
W14X132,132.00,38.80,1530.00,209.00
W14X120,120.00,35.30,1380.00,190.00
W14X109,109.00,32.00,1240.00,173.00
W14X99,99.00,29.10,1110.00,157.00
W14X90,90.00,26.50,999.00,143.00
W14X82,82.00,24.00,881.00,123.00
W14X74,74.00,21.80,795.00,112.00
W14X68,68.00,20.00,722.00,103.00
W14X61,61.00,17.90,640.00,92.10
W14X53,53.00,15.60,541.00,77.80
W14X48,48.00,14.10,484.00,70.20
W14X43,43.00,12.60,428.00,62.60
W14X38,38.00,11.20,385.00,54.60
W14X34,34.00,10.00,340.00,48.60
W14X30,30.00,8.85,291.00,42.00
W14X26,26.00,7.69,245.00,35.30
W14X22,22.00,6.49,199.00,29.00
W12X336,336.00,98.90,4060.00,483.00
W12X305,305.00,89.50,3550.00,435.00
W12X279,279.00,81.90,3110.00,393.00
W12X252,252.00,74.10,2720.00,353.00
W12X230,230.00,67.70,2420.00,321.00
W12X210,210.00,61.80,2140.00,292.00
W12X190,190.00,56.00,1890.00,263.00
W12X170,170.00,50.00,1650.00,235.00
W12X152,152.00,44.70,1430.00,209.00
W12X136,136.00,39.90,1240.00,186.00
W12X120,120.00,35.20,1070.00,163.00
W12X106,106.00,31.20,933.00,145.00
W12X96,96.00,28.20,833.00,131.00
W12X87,87.00,25.60,740.00,118.00
W12X79,79.00,23.20,662.00,107.00
W12X72,72.00,21.10,597.00,97.40
W12X65,65.00,19.10,533.00,87.90
W12X58,58.00,17.00,475.00,78.00
W12X53,53.00,15.60,425.00,70.60
W12X50,50.00,14.60,391.00,64.20
W12X45,45.00,13.10,348.00,57.70
W12X40,40.00,11.70,307.00,51.50
W12X35,35.00,10.30,285.00,45.60
W12X30,30.00,8.79,238.00,38.60
W12X26,26.00,7.65,204.00,33.40
W12X22,22.00,6.48,156.00,25.40
W12X19,19.00,5.57,130.00,21.30
W12X16,16.00,4.71,103.00,17.10
W12X14,14.00,4.16,88.60,14.90
W10X112,112.00,32.90,716.00,126.00
W10X100,100.00,29.30,623.00,112.00
W10X88,88.00,26.00,534.00,98.50
W10X77,77.00,22.70,455.00,85.90
W10X68,68.00,19.90,394.00,75.70
W10X60,60.00,17.70,341.00,66.70
W10X54,54.00,15.80,303.00,60.00
W10X49,49.00,14.40,272.00,54.60
W10X45,45.00,13.30,248.00,49.10
W10X39,39.00,11.50,209.00,42.10
W10X33,33.00,9.71,171.00,35.00
W10X30,30.00,8.84,170.00,32.40
W10X26,26.00,7.61,144.00,27.90
W10X22,22.00,6.49,118.00,23.20
W10X19,19.00,5.62,96.30,18.80
W10X17,17.00,4.99,81.90,16.20
W10X15,15.00,4.41,68.90,13.80
W10X12,12.00,3.54,53.80,10.90
W8X67,67.00,19.70,272.00,60.40
W8X58,58.00,17.10,228.00,52.00
W8X48,48.00,14.10,184.00,43.20
W8X40,40.00,11.70,146.00,35.50
W8X35,35.00,10.30,127.00,31.20
W8X31,31.00,9.13,110.00,27.50
W8X28,28.00,8.25,98.00,24.30
W8X24,24.00,7.08,82.70,20.90
W8X21,21.00,6.16,75.30,18.20
W8X18,18.00,5.26,61.90,15.20
W8X15,15.00,4.44,48.00,11.80
W8X13,13.00,3.84,39.60,9.91
W8X10,10.00,2.96,30.80,7.81
W6X25,25.00,7.34,53.40,16.70
